ticker,event_date,move_pct,atr_pct,normalized_move,price_at_event,event_type,drug_name,catalyst_summary,catalyst_type,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,move_magnitude,move_class_abs,move_class_norm,move_class_combo,stock_relative_move
VYNE,2025-08-12,2.05,48.56,0.04,0.35,Gainer,repibresib gel,"VYNE Therapeutics announced topline results from its Phase 2b trial of repibresib gel in nonsegmental vitiligo in July 2025, which missed primary and key secondary endpoints, leading to trial termination; no announcements occurred on or around August 12, 2025.",Clinical Data,,nonsegmental vitiligo,Phase 2b,False,,,No,Did not meet primary endpoint of proportion of subjects achieving F-VASI50 or key secondary endpoint of F-VASI75.,,,,,,,,,19.8,0.59,32.7,10.0,0.02,0.27,2.0,none,0.55,,,False,True,Low,VeryLow,Noise,Low,Low
KALA,2025-10-07,7.89,175.28,0.05,1.64,Gainer,KPI-012,"KALA BIO announced that its CHASE Phase 2b trial of KPI-012 for persistent corneal epithelial defect (PCED) failed to meet its primary endpoint and key secondary efficacy endpoints, leading the company to discontinue development of the drug.",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect (PCED),Phase 2b,False,,,No,"The trial did not meet its primary endpoint of complete healing of PCED at Week 8, and failed to achieve statistical significance for key secondary efficacy endpoints, showing no meaningful difference between KPI-012 treatment arms and placebo.[1][2]",A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
RZLT,2025-12-19,-4.32,65.32,0.07,1.77,Loser,RZLT,"Rezolute announced topline Phase 3 sunRIZE trial results for ersodetug (RZLT) in congenital hyperinsulinism on December 11, 2025, which missed primary and key secondary endpoints despite showing a 45% reduction in hypoglycemia events at the top dose compared to 40% improvement in placebo.",Clinical Data,,congenital hyperinsulinism,Phase 3,True,Breakthrough Therapy Designation from FDA; designed as registrational trial to evaluate efficacy and safety for potential approval,,No,"Study did not meet primary endpoint; ersodetug showed 45% reduction in hypoglycemia events at top dose (10 mg/kg) compared to 40% improvement in placebo group, which was not statistically significant[1][5]",,,,,,,,,314.85,3.29,132.94,20.0,0.31,0.96,4.75,buy,0.55,,,False,True,Low,VeryLow,Noise,Low,Low
MGNX,2024-05-20,-2.41,39.66,0.06,4.26,Loser,vobra duo (MGC018),"MacroGenics announced on May 9, 2024, interim updated safety and efficacy data from its Phase 2 TAMARACK study, which revealed five patient deaths in the trial, causing the stock to crash 77% on May 10, 2024.",Clinical Data,NCT05362773,Metastatic castration-resistant prostate cancer (mCRPC),Phase 2,False,,,Unclear,"Primary endpoint was investigator-assessed PFS at 6 months (rPFS); results were expected in second half of 2024 but the trial was paused following disclosure of five patient deaths in May 2024, preventing full endpoint assessment.","A Phase 1, First-in-Human, Dose Escalation Study of MGD024, a CD123 x CD3 Bispecific DART Molecule, in Patients With Select Relapsed or Refractory Hematologic Malignancies",PHASE1,130.0,"Leukemia, Acute Myeloid; Myelodysplastic Syndromes; Classical Hodgkin Lymphoma; Leukemia, B-cell; Leukemia, Hairy Cell; Mastocytosis, Aggressive Systemic; Blastic Plasmacytoid Dendritic Cell Neoplasm; Chronic Myeloid Leukemia",RECRUITING,MacroGenics,,2026-11,107.54,1.7,146.4,10.0,0.08,0.65,3.4,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
VYNE,2025-08-01,-3.55,55.98,0.06,0.35,Loser,repibresib gel,"VYNE Therapeutics announced topline results from its Phase 2b trial of repibresib gel in nonsegmental vitiligo in July 2025, which missed primary and key secondary endpoints, leading to trial termination.[1][2][4]",Clinical Data,,nonsegmental vitiligo,Phase 2b,False,,,No,"Failed to meet primary endpoint of F-VASI50 (≥50% improvement in Facial Vitiligo Area Scoring Index) at week 24 compared to vehicle, and also missed key secondary endpoint of F-VASI75, though the 3% dose showed nominally significant improvements in percent change from baseline in F-VASI and T-VASI scores.",,,,,,,,,19.8,0.59,32.7,10.0,0.02,0.27,2.0,none,0.55,,,False,True,Low,VeryLow,Noise,Low,Low
TBIO,2025-05-08,-90.08,66.53,1.35,0.01,Loser,VCN-01 (zabilugene almadenorepvec),"Theriva Biologics (TBIO) announced positive results from the VIRAGE Phase 2b clinical trial of VCN-01 with gemcitabine/nab-paclitaxel in metastatic pancreatic cancer patients around May 8, 2025, showing improved overall survival, progression-free survival, and duration of response versus standard-of-care alone.[1]",Clinical Data,NCT05057715,metastatic pancreatic ductal adenocarcinoma,Phase 2b,False,,,Yes,"Met primary endpoints of overall survival and safety/tolerability, with metastatic PDAC patients receiving VCN-01 plus gemcitabine/nab-paclitaxel showing improved OS, PFS, and DoR compared to standard-of-care chemotherapy alone.",Phase 1 Trial of Human Chimeric Antigen Receptor Modified T Cells (huCART-meso) Administered in Combination With VCN-01 in Patients With Pancreatic and Serous Epithelial Ovarian Cancer,PHASE1,13.0,Pancreatic Cancer; Serous Ovarian Cancer,ACTIVE_NOT_RECRUITING,University of Pennsylvania,NON_RANDOMIZED,2038-09,0.1,0.06,4.51,2.0,0.07,0.3,,none,0.82,,,True,True,Low,VeryHigh,Noise,Medium,Medium
KALA,2025-12-10,-2.04,30.1,0.07,0.77,Loser,KPI-012,"KALA BIO announced on September 29, 2025, that the CHASE Phase 2b clinical trial of KPI-012 for persistent corneal epithelial defect (PCED) failed to meet its primary endpoint of complete healing and key secondary endpoints, with no meaningful difference versus placebo.[2]",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,True,CHASE trial expected to serve as a pivotal trial in support of a Biologics License Application[7],,No,"Did not meet primary endpoint of complete healing of PCED at Week 8, with no meaningful difference versus placebo[1]",A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
CTMX,2024-05-16,2.04,38.05,0.05,2.0,Gainer,CX-904,"CytomX Therapeutics (CTMX) announced preliminary Phase 1a dose escalation clinical trial data for CX-904 on May 8, 2024, based on a data cutoff of April 16, 2024, from 35 patients, which is on or around 2024-05-16.[4][5][6]",Clinical Data,NCT05387265,EGFR-expressing advanced metastatic solid tumors,Phase 1a,False,,,Unclear,"Phase 1a dose escalation trial primarily assessed safety and tolerability, showing a favorable safety profile with no CRS of any grade in step-dosing cohorts and encouraging anti-tumor activity including confirmed partial responses in 2 of 6 pancreatic cancer patients.","A Phase 1/1b, Open-label, Dose-finding, First-in-human Study to Evaluate the Safety and Antitumor Activity of CX-904, an EGFR-targeted T-cell Engager in Advanced Solid Tumors (CTMX-904-101)",PHASE1,83.0,Solid Tumors,TERMINATED,CytomX Therapeutics,,2025-06-04,920.03,5.43,143.63,23.0,0.09,0.92,9.0,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KALA,2025-10-15,-6.62,122.94,0.05,1.41,Loser,KPI-012,"No clinical trial data or results for KALA were announced on or around 2025-10-15; topline results from the CHASE Phase 2b trial of KPI-012 were announced later, showing failure to meet the primary endpoint, leading to discontinuation.[1][2]",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect (PCED),Phase 2b,True,The CHASE trial was designed as a pivotal study that could support a Biologics License Application (BLA) to the FDA if results were positive[1][2],,No,"KPI-012 failed to meet its primary endpoint and did not show statistical significance in key secondary efficacy endpoints, leading to discontinuation of the program[4]",A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KALA,2025-10-10,-7.74,146.43,0.05,1.43,Loser,KPI-012,"Kala Bio announced topline results from the CHASE Phase 2b clinical trial of KPI-012 on or around October 10, 2025, reporting that it missed the primary endpoint and key secondary endpoints, leading to discontinuation of development.[3]",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,False,,,No,Did not meet primary endpoint of complete healing of PCED at Week 8 as measured by corneal fluorescein staining.,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
RZLT,2025-12-26,-2.55,45.31,0.06,2.67,Loser,ersodetug,"Rezolute announced Phase 3 sunRIZE study results on December 11, 2025, showing the drug failed to meet its primary and key secondary endpoints for congenital hyperinsulinism, with a 45% reduction in hypoglycemia events at the top dose compared to 40% in placebo.",Clinical Data,NCT06881992,congenital hyperinsulinism,Phase 3,True,"Phase 3 randomized, double-blind, placebo-controlled study designed to evaluate efficacy and safety as a potential registrational trial under Breakthrough Therapy Designation",,No,"Failed to meet primary endpoint of change from baseline in average weekly hypoglycemia events, with 45% reduction at top ersodetug dose (10 mg/kg) vs 40% in placebo, not statistically significant.","A Phase 3, Single-Arm, Open-label, Pivotal Study to Evaluate the Efficacy and Safety of Ersodetug Compared to Baseline in Patients With Inadequately Controlled Hypoglycemia Due to Tumor Hyperinsulinism (Tumor HI)",PHASE3,16.0,Tumor Hyperinsulinism (Tumor HI),RECRUITING,Rezolute,,2027-09,314.85,3.29,132.94,20.0,0.31,0.96,4.75,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
BIOA,2024-12-16,-3.27,47.03,0.07,4.14,Loser,azelaprag,"BioAge Labs (BIOA) announced on December 6, 2024, the discontinuation of its STRIDES Phase 2 clinical trial of azelaprag due to unexpected liver transaminitis observed in some patients, with related discussions and financial results reported around December 16, 2024.[1][2][3]",Clinical Data,NCT06515418,Obesity,Phase 2,False,,,Unclear,"Trial discontinued due to unexpected liver transaminitis in 11 of 204 participants receiving azelaprag, prior to assessing primary endpoint of mean percent change in body weight at Week 24.","A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-Arm Proof-of-Concept Study to Investigate Efficacy and Safety of Oral Azelaprag Plus Once Weekly Tirzepatide Compared with Tirzepatide Alone in Participants with Obesity Aged 55 Years and Over (STRIDES)",PHASE2,204.0,Obesity,TERMINATED,"BioAge Labs, Inc.",RANDOMIZED,2025-02-06,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KALA,2025-10-02,13.24,203.95,0.06,1.54,Gainer,KPI-012,"Kala Bio announced topline results from the CHASE Phase 2b clinical trial of KPI-012 for persistent corneal epithelial defect (PCED) around October 2025, reporting that the trial missed its primary endpoint and key secondary endpoints, leading to discontinuation of development.[2]",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,False,,,No,Did not meet primary endpoint of complete healing of PCED at Week 8 as measured by corneal fluorescein staining.,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,Low,Noise,Low,Low
CTMX,2024-05-14,2.65,36.89,0.07,1.94,Gainer,CX-904,"CytomX Therapeutics (CTMX) announced positive initial Phase 1a dose escalation data for CX-904 on or around May 14, 2024, showing a 33% confirmed partial response rate and 100% disease control rate in 6 advanced pancreatic cancer patients with a favorable safety profile as of April 16, 2024 data cutoff.[2][3]",Clinical Data,NCT05387265,advanced pancreatic cancer,Phase 1,False,,,Unclear,"Phase 1a dose escalation trial showed 33% confirmed partial response rate and 100% disease control rate in 6 advanced pancreatic cancer patients with favorable safety profile as of April 16, 2024 data cutoff.","A Phase 1/1b, Open-label, Dose-finding, First-in-human Study to Evaluate the Safety and Antitumor Activity of CX-904, an EGFR-targeted T-cell Engager in Advanced Solid Tumors (CTMX-904-101)",PHASE1,83.0,Solid Tumors,TERMINATED,CytomX Therapeutics,,2025-06-04,920.03,5.43,143.63,23.0,0.09,0.92,9.0,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
ANRO,2024-11-01,2.31,34.53,0.07,3.98,Gainer,ALTO-100,"Alto Neuroscience (ANRO) reported topline results from the Phase 2b trial of ALTO-100 for major depressive disorder in October 2024, which did not meet the primary endpoint of statistically significant improvement in the biomarker-positive group but showed positive signals in adjunctive use and favorable safety.",Clinical Data,NCT06656416,major depressive disorder,Phase 2b,False,,,No,Did not meet primary endpoint of statistically significant change from baseline in MADRS compared to placebo in the biomarker-positive group.,"A Randomized, Double-Blind, Placebo-Controlled Study Followed by Open-Label Treatment of ALTO-100 in Adults With Bipolar Disorder Currently Experiencing a Major Depressive Episode",PHASE2,200.0,Bipolar Disorder I or II With a Major Depressive Episode,RECRUITING,Alto Neuroscience,RANDOMIZED,2026-08,547.39,17.62,137.82,31.0,0.08,0.79,31.25,strong_buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
VYNE,2025-08-07,3.29,55.54,0.06,0.38,Gainer,repibresib gel,"VYNE Therapeutics announced topline results from its Phase 2b trial of repibresib gel in nonsegmental vitiligo in July 2025, which missed primary and key secondary endpoints, leading to trial termination.[1][2][5]",Clinical Data,,nonsegmental vitiligo,Phase 2b,False,,,No,Failed to meet primary endpoint of F-VASI50 (proportion achieving ≥50% improvement in Facial Vitiligo Area Scoring Index) at week 24 compared to vehicle.,,,,,,,,,19.8,0.59,32.7,10.0,0.02,0.27,2.0,none,0.55,,,False,True,Low,VeryLow,Noise,Low,Low
BIOA,2024-12-24,2.36,32.4,0.07,6.08,Gainer,betibeglogene autotemcel (beti-cel; Zynteglo),"BioAge Labs announced discontinuation of the STRIDES Phase 2 clinical trial for azelaprag on December 6, 2024, due to liver transaminitis observed in some subjects, though this was not a positive results announcement but rather a safety-driven trial termination.",Clinical Data,NCT06271512,Obesity,Phase 2,False,,,No,"Trial was discontinued due to liver transaminitis (elevated transaminases) observed in 11 of 204 azelaprag-treated participants, preventing completion of efficacy assessment.",A Safety and Effectiveness Registry Study of Patients with Β-Thalassemia Treated with Betibeglogene Autotemcel (the Glostar Registry),,150.0,Beta-Thalassemia,RECRUITING,Genetix Biotherapeutics Inc.,,2043-12,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
VSTM,2024-06-10,-2.35,28.89,0.08,3.32,Loser,avutometinib plus defactinib,"No clinical trial data or results for VSTM were announced on or around June 10, 2024; the closest announcement was positive initial interim safety and efficacy results from the RAMP 205 trial on May 24, 2024, with a poster presentation at ASCO on June 1, 2024.",Clinical Data,NCT06630260,"Glioblastoma Multiforme (GBM); Glioblastoma Multiform (Grade IV Astrocytoma); Diffuse Hemispheric Glioma, H3 G34-Mutant; Malignant Primary Gliomas",Phase 1/2,False,,,Unclear,"No clinical trial data or results for VSTM were announced on or around June 10, 2024; the closest announcement was positive initial interim safety and efficacy results from the RAMP 205 trial on May 24, 2024, with a poster presentation at ASCO on June 1, 2024.",A Phase 1/2 Trial of the Doublet Combination of Avutometinib and Defactinib and as a Triplet in Combination With Temozolomide in Patients With High Grade Malignant Brain Tumours Within the 5G Platform,PHASE1/PHASE2,182.0,"Glioblastoma Multiforme (GBM); Glioblastoma Multiform (Grade IV Astrocytoma); Diffuse Hemispheric Glioma, H3 G34-Mutant; Malignant Primary Gliomas",RECRUITING,"Institute of Cancer Research, United Kingdom",NON_RANDOMIZED,2029-09-30,446.65,5.93,137.71,12.0,0.22,0.99,16.62,strong_buy,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
TBIO,2025-07-22,-8.33,83.33,0.1,0.02,Loser,ANKTIVA,ImmunityBio announced updated long-term (36-month) progression-free survival and bladder-sparing data from the QUILT-3.032 trial for ANKTIVA in combination with BCG in papillary-only non-muscle invasive bladder cancer (NMIBC) in their Q2 2025 earnings release.,Clinical Data,NCT07123727,Long COVID,Phase 2,False,,,Unclear,Trial is ongoing with primary endpoint of safety (incidence of grade 3 or higher treatment-emergent adverse events and serious adverse events); no data released as of February 2026.,Single Arm Study to Evaluate the Safety of Nogapendekin Alfa Inbakicept (NAI) in Participants With Long COVID,PHASE2,40.0,Long COVID; Long COVID Syndrome; Long Covid 19,RECRUITING,"ImmunityBio, Inc.",,2026-07,0.1,0.06,4.51,2.0,0.07,0.3,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
