feature_name,role,feature_group,data_type,source_columns,source_system,calculation_logic,plain_english_definition,why_it_matters,valid_count,null_count,valid_pct,null_pct,validity_rule,notes,stage,feature_type,description,source_type,n_valid,n_null,pct_valid
feat_volatility,feature,Financial,float,atr_pct,yfinance OHLC (pass1),"atr_pct = Wilder RMA ewm(alpha=1/20, adjust=False) 20-day pre-event ATR as % of price",Pre-event 20-day Average True Range as % of stock price (Wilder method),Pre-event volatility directly scales the expected move size — core feature for normalising targets,825.0,2.0,99.8,0.2,non-null; 2 missing from OHLC gaps,2 nulls; impute with median for baseline,,,,,825.0,2.0,0.998
feat_short_squeeze_flag,feature,Financial,binary_float,short_percent,financial data pipeline (pass1),"1.0 if short_percent >= 20, else 0.0; NaN if unknown",1 if short interest ≥ 20% of float at time of event,High short interest amplifies moves — positive catalysts can trigger short squeezes,797.0,30.0,96.4,3.6,"0, 1, or NaN",30 nulls (3.6%); impute with 0,,,,,797.0,30.0,0.9640000000000001
feat_ownership_low_flag,feature,Financial,binary_float,institutional_ownership,financial data pipeline (pass1),"1.0 if institutional_ownership < 30%, else 0.0; NaN if unknown",1 if institutional ownership is below 30%,Low institutional ownership indicates retail-dominated float — higher volatility and gap risk,824.0,3.0,99.6,0.4,"0, 1, or NaN",3 nulls (0.4%); impute with 0,,,,,824.0,3.0,0.996
feat_market_cap_bucket,feature,Financial,categorical_str,market_cap_m,dataset (pass3),"Nano (<50M), Micro (50-300M), Small (300M-2B), Mid (2-10B), Large (>10B)",Market cap size tier label,Enables non-linear market-cap stratification and group-level reaction priors,827.0,0.0,100.0,0.0,non-null string,used as grouping key for reaction priors,,,,,827.0,0.0,1.0
feat_cash_runway_proxy,feature,Financial,float,"cash_position_m, market_cap_m",dataset (pass4),"cash_position_m / market_cap_m, clipped at 5.0",Cash holdings as a fraction of market cap — proxy for balance-sheet buffer,Companies where cash > market cap (>1.0) are near existential crisis; amplifies move sensitivity,824.0,3.0,99.6,0.4,non-null if both inputs present; clipped at 5.0,3 nulls (0.4%); 51 rows with ratio > 1.0,,,,,824.0,3.0,0.996
feat_n_trials_for_company,feature,Company Pipeline,count_int,ticker,dataset (pass3),groupby(ticker).transform('count') on all rows,Total number of clinical catalyst events for this company in the dataset,Proxy for company maturity — more events = more established clinical program,827.0,0.0,100.0,0.0,non-null integer >= 1,"100% coverage; reflects dataset history, not full CT.gov pipeline",,,,,827.0,0.0,1.0
feat_n_unique_drugs_for_company,feature,Company Pipeline,count_int,"drug_name, ticker",dataset (pass3),count of distinct drug_name values per ticker,Number of distinct drugs this company has clinical events for,Pipeline breadth indicator — 1 drug = existential concentration risk,827.0,0.0,100.0,0.0,non-null integer >= 1,100% coverage,,,,,827.0,0.0,1.0
feat_single_asset_company_flag,feature,Company Pipeline,binary_int,feat_n_unique_drugs_for_company,dataset (pass3),"1 if n_unique_drugs_for_company <= 1, else 0",1 if the company has only one drug with clinical events in the dataset,Single-asset companies face binary outcomes — catalyst reactions tend to be more extreme,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_lead_asset_dependency_score,feature,Company Pipeline,float,feat_n_unique_drugs_for_company,dataset (pass3),"1drug→1.0, 2drugs→0.7, 3-4drugs→0.4, 5+drugs→0.2",Score (0.2–1.0) reflecting how dependent the company is on its lead drug,Higher score = more existential — a positive or negative catalyst on a single drug is more market-moving,827.0,0.0,100.0,0.0,"0.2 to 1.0, never null",100% coverage,,,,,827.0,0.0,1.0
feat_n_late_stage_trials_for_company,feature,Company Pipeline,count_int,"ticker, feat_phase_num",dataset (pass3),count of events per ticker where feat_phase_num >= 2.5,Number of late-stage (Phase 2/3+) catalyst events for this company,Late-stage trial count is a pipeline maturity signal,827.0,0.0,100.0,0.0,non-null integer >= 0,100% coverage,,,,,827.0,0.0,1.0
feat_pipeline_concentration_simple,feature,Company Pipeline,float,"feat_lead_asset_dependency_score, feat_n_late_stage_trials_for_company, feat_n_trials_for_company",dataset (pass3),lead_asset_dependency_score × (n_late_stage_trials / n_trials_for_company),Composite: how much of a company's trial activity is concentrated in late-stage assets,High concentration = late-stage binary events dominate the company's clinical narrative,827.0,0.0,100.0,0.0,"0.0 to 1.0, never null",100% coverage,,,,,827.0,0.0,1.0
feat_asset_trial_count_for_company,feature,Company Pipeline,count_float,"drug_name, ticker",dataset (pass4),"groupby([ticker, drug_name_normalised]).transform('count')",Number of dataset events for this specific drug within this company,Distinguishes between a drug with one data point vs one with multiple readouts — the latter has richer prior,827.0,0.0,100.0,0.0,non-null float >= 1,100% coverage,,,,,827.0,0.0,1.0
feat_asset_trial_share,feature,Company Pipeline,float,"feat_asset_trial_count_for_company, feat_n_trials_for_company",dataset (pass4),asset_trial_count_for_company / n_trials_for_company,Fraction of all company events that belong to this drug,High share = this drug dominates the company's clinical history in the dataset,827.0,0.0,100.0,0.0,"0 to 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_pipeline_depth_score,feature,Company Pipeline,float,"feat_n_late_stage_trials_for_company, feat_n_unique_drugs_for_company",dataset (pass4),"min(n_late_stage_trials, 5) × 0.6 + log1p(n_unique_drugs) × 0.4",Composite pipeline depth score combining late-stage breadth and drug count,Richer pipeline = market already has priced in some success probability; lower marginal move per trial,827.0,0.0,100.0,0.0,non-null float >= 0,100% coverage,,,,,827.0,0.0,1.0
feat_regulatory_stage_score,feature,Trial Importance,ordinal_int,"pivotal_evidence, v_summary, v_pr_key_info, catalyst_summary, feat_nda_bla_flag, feat_priority_review_flag",dataset (pass3),"0=no regulatory language, 1=pivotal/registrational keywords, 2=NDA/BLA filed, 3=priority review; cumulative max",Ordinal score (0–3) for regulatory significance of this trial event,Pivotal/regulatory-stage events move markets more than exploratory Phase 2 data — key importance signal,827.0,0.0,100.0,0.0,"0–3, never null",100% coverage; already captures is_pivotal signal better than raw column,,,,,827.0,0.0,1.0
feat_pivotal_proxy_score,feature,Trial Importance,float,"feat_phase_num, feat_regulatory_stage_score, feat_breakthrough_flag, feat_priority_review_flag, pivotal_evidence, v_summary, v_pr_key_info",dataset (pass4),"+1.5 phase>=3, +1.0 phase==2.5 or reg_score>=2, +0.5 reg_score==1, +0.5 BTD, +0.5 priority_review, +0.5 pivotal text keywords; max ~5.0","Composite pivotal importance score (0–5) combining phase, regulatory status, designations, and text evidence",More complete importance signal than any single flag — synthesises all available pivotal evidence into one score,827.0,0.0,100.0,0.0,"0.0 to 5.0, never null","100% coverage; replaces raw is_pivotal (54% null); mean=1.12, 310 rows score >=2.0",,,,,827.0,0.0,1.0
feat_orphan_flag,feature,Trial Importance,binary_int,"pivotal_evidence, v_summary, v_pr_key_info, catalyst_summary",dataset (pass3),1 if orphan designation keywords found in evidence text,1 if orphan drug designation mentioned in trial evidence,Orphan designation signals rare disease focus and sometimes expedited regulatory pathway,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage; 2 rows flagged,,,,,827.0,0.0,1.0
feat_fast_track_flag,feature,Trial Importance,binary_int,"pivotal_evidence, v_summary, v_pr_key_info, catalyst_summary",dataset (pass3),1 if fast track designation keywords found in evidence text,1 if FDA Fast Track Designation mentioned,Fast Track expedites review and signals FDA acknowledgment of unmet need,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_breakthrough_flag,feature,Trial Importance,binary_int,"pivotal_evidence, v_summary, v_pr_key_info, catalyst_summary",dataset (pass3),1 if Breakthrough Therapy Designation keywords found in evidence text,1 if FDA Breakthrough Therapy Designation mentioned,BTD is the highest FDA designation — strong signal of expected efficacy and expedited pathway,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_nda_bla_flag,feature,Trial Importance,binary_int,"pivotal_evidence, v_summary, v_pr_key_info, catalyst_summary",dataset (pass3),1 if NDA/BLA submission or approval keywords found in evidence text,1 if NDA or BLA filing/approval event,NDA/BLA events are approval-stage — highest commercial significance; typically large moves,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_priority_review_flag,feature,Trial Importance,binary_int,"pivotal_evidence, v_summary, v_pr_key_info, catalyst_summary",dataset (pass3),1 if Priority Review designation keywords found in evidence text,1 if FDA Priority Review granted,Priority Review shortens FDA review to 6 months — confirms regulatory importance of the drug,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_endpoint_outcome_score,feature,Outcome Evidence,float,primary_endpoint_met,dataset (pass1 → patched v3.16),"Yes=+1.0, No=-1.0, Unclear/missing=0.0. Does NOT use is_pivotal.","Endpoint outcome score: +1 if primary endpoint met, -1 if failed, 0 if unknown",Cleanest direct measure of trial success — avoids leaking is_pivotal sparsity into the score,827.0,0.0,100.0,0.0,"-1.0, 0.0, or +1.0; never null",Replaces deprecated feat_endpoint_positive_score. 308 rows with non-zero value (37%).,,,,,827.0,0.0,1.0
feat_primary_endpoint_known_flag,feature,Outcome Evidence,binary_int,primary_endpoint_met,dataset (pass4),"1 if primary_endpoint_met in {'yes','no'} (case-insensitive), else 0",1 if the primary endpoint outcome is known (either Yes or No),Knowing whether the endpoint was hit is itself predictive — rows with unknown outcome behave differently,827.0,0.0,100.0,0.0,"0 or 1, never null",308 rows = 37% have known outcome,,,,,827.0,0.0,1.0
feat_superiority_flag,feature,Outcome Evidence,binary_int,"primary_endpoint_result, v_pr_key_info, v_summary, catalyst_summary, pivotal_evidence","dataset (pass4, keyword)",1 if superiority / met-primary / positive-result keywords found across evidence text fields,1 if evidence text suggests the trial met its primary endpoint or showed superiority,Direct positive evidence signal — even before structured endpoint data is present,827.0,0.0,100.0,0.0,"0 or 1, never null",331 rows (40%); 19 rows also have feat_mixed_results_flag=1 (ambiguous results),,,,,827.0,0.0,1.0
feat_stat_sig_flag,feature,Outcome Evidence,binary_int,"primary_endpoint_result, v_pr_key_info, v_summary","dataset (pass4, keyword)",1 if p-value / hazard ratio / confidence interval keywords found in evidence text,"1 if statistically significant results reported (p-value, HR, CI mentioned)",Quantitative evidence of efficacy — presence of stats language is itself a positive signal,827.0,0.0,100.0,0.0,"0 or 1, never null",219 rows (26%),,,,,827.0,0.0,1.0
feat_clinically_meaningful_flag,feature,Outcome Evidence,binary_int,"primary_endpoint_result, v_pr_key_info, v_summary","dataset (pass4, keyword)",1 if clinically meaningful / durable / complete response keywords found,1 if evidence mentions clinically meaningful or durable outcomes,Distinguishes statistical significance from clinical impact — a key driver of market reaction,827.0,0.0,100.0,0.0,"0 or 1, never null",114 rows (14%),,,,,827.0,0.0,1.0
feat_mixed_results_flag,feature,Outcome Evidence,binary_int,"primary_endpoint_result, v_pr_key_info, v_summary, catalyst_summary","dataset (pass4, keyword)",1 if mixed / partial / did-not-meet / failed-primary keywords found,"1 if evidence suggests mixed, partial, or failed primary endpoint results",Mixed results produce attenuated moves — important for distinguishing full success from ambiguous outcomes,827.0,0.0,100.0,0.0,"0 or 1, never null",96 rows (12%); 19 overlap with feat_superiority_flag (partial/secondary success),,,,,827.0,0.0,1.0
feat_design_quality_score,feature,Trial Design,float,"ct_allocation, ct_enrollment, feat_phase_num",CT.gov API + dataset (pass1),"+2 RANDOMIZED, +2 enrollment>300, +1 enrollment 101-300, +1 Phase3+, +0.5 Phase2/3, -1 NON_RANDOMIZED; NaN if all inputs missing","Trial design quality score (0–6) based on randomisation, enrollment size, and phase",Higher quality design = more credible result = market responds more decisively,784.0,43.0,94.8,5.2,"NaN if ct_allocation, ct_enrollment, and feat_phase_num all null",43 nulls (5.2%); impute with median,,,,,784.0,43.0,0.948
feat_trial_quality_score,feature,Trial Design,float,"feat_design_quality_score, v_summary, catalyst_summary, feat_breakthrough_flag, feat_withdrawn_flag, feat_terminated_flag",dataset (pass3),feat_design_quality_score + 1.0×blinded_title + 0.5×breakthrough − 2.0×withdrawn − 2.0×terminated,"Composite trial quality score integrating design, blinding, designations, and trial disruption",Penalises withdrawn/terminated trials and rewards blinded designs — more comprehensive than design quality alone,784.0,43.0,94.8,5.2,NaN if design_quality_score is NaN,43 nulls (5.2%); impute with median,,,,,784.0,43.0,0.948
feat_randomized_flag,feature,Trial Design,binary_float,ct_allocation,CT.gov API (pass3),"1.0 if ct_allocation == 'RANDOMIZED', 0.0 if NON_RANDOMIZED; NaN if unknown",1 if trial is randomised (RCT),Randomisation is the gold standard — RCT results are more market-credible than single-arm studies,667.0,160.0,80.7,19.3,"0.0, 1.0, or NaN",160 nulls (19.3%) — missing for non-CT.gov rows and older trials,,,,,667.0,160.0,0.807
feat_controlled_flag,feature,Trial Design,binary_int,"ct_allocation, v_summary, ct_official_title",dataset (pass3),1 if controlled/comparator arm keywords found in design information,1 if trial has a control arm (placebo or active comparator),Controlled trials produce more interpretable and market-credible results,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_blinded_flag,feature,Trial Design,binary_int,"ct_official_title, v_pr_title, v_summary, catalyst_summary","dataset (pass4, keyword)",1 if double/single-blind or masking keywords found in trial title or design text,1 if the trial is blinded (single or double-blind),Blinded trials reduce bias — market gives more weight to blinded results,827.0,0.0,100.0,0.0,"0 or 1, never null",362 rows (44%),,,,,827.0,0.0,1.0
feat_open_label_flag,feature,Trial Design,binary_int,"ct_official_title, v_pr_title, v_summary, catalyst_summary","dataset (pass4, keyword)",1 if open-label or unblinded keywords found in trial title or design text,1 if the trial is open-label (no blinding),Open-label results are less credible to the market — often leads to muted reactions,827.0,0.0,100.0,0.0,"0 or 1, never null",238 rows (29%); not mutually exclusive with feat_blinded_flag at text level,,,,,827.0,0.0,1.0
feat_enrollment_log,feature,Trial Design,log_float,ct_enrollment,CT.gov API (pass3),log10(ct_enrollment + 1),Log of trial enrollment size,Larger trials are more powered and credible — log scale compresses outliers,784.0,43.0,94.8,5.2,NaN if ct_enrollment is null,43 nulls (5.2%),,,,,784.0,43.0,0.948
feat_small_trial_flag,feature,Trial Design,binary_float,ct_enrollment,CT.gov API (pass4),"1.0 if ct_enrollment < 50, else 0.0; NaN if enrollment unknown",1 if trial enrolled fewer than 50 participants,Very small trials are early-stage feasibility studies — market reactions tend to be smaller,784.0,43.0,94.8,5.2,"0.0, 1.0, or NaN",129 rows (15.6%); 43 nulls (5.2%),,,,,784.0,43.0,0.948
feat_withdrawn_flag,feature,Trial Design,binary_int,ct_status,CT.gov API (pass3),1 if ct_status == 'WITHDRAWN',1 if trial was withdrawn before any participants enrolled,Withdrawal is a strong negative signal — penalises trial quality score,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_terminated_flag,feature,Trial Design,binary_int,ct_status,CT.gov API (pass3),1 if ct_status == 'TERMINATED',1 if trial was terminated early (after enrolment began),Termination is a major negative event — safety signals or futility,827.0,0.0,100.0,0.0,"0 or 1, never null",100% coverage,,,,,827.0,0.0,1.0
feat_event_proximity_bucket,feature,Timing,categorical_str,feat_days_to_primary_completion,dataset (pass1),"future_far (>365d), future_near (0–365d), just_completed (0 to −180d), past (<−180d), unknown",Categorical label for timing of event relative to primary completion,Bucket captures non-linear timing effects: events just after completion are data readouts; far-future events are interim,827.0,0.0,100.0,0.0,non-null string (unknown if days missing),100% coverage; unknown for 47 rows with missing completion date,,,,,827.0,0.0,1.0
feat_active_not_recruiting_flag,feature,Timing,binary_float,ct_status,CT.gov API (pass1),"1.0 if ct_status == 'ACTIVE_NOT_RECRUITING', else 0.0; NaN if status missing",1 if trial is active but no longer enrolling — often means data collection is complete,This status suggests results are imminent — timing signal for expected data readout,784.0,43.0,94.8,5.2,"0.0, 1.0, or NaN",43 nulls (5.2%),,,,,784.0,43.0,0.948
feat_completed_flag,feature,Timing,binary_float,ct_status,CT.gov API (pass4),"1.0 if ct_status == 'COMPLETED', else 0.0; NaN if status missing",1 if the trial has officially completed,Completed trials have full data — events on completed trials are final result announcements,784.0,43.0,94.8,5.2,"0.0, 1.0, or NaN",43 nulls (5.2%); 533 completed rows (64%),,,,,784.0,43.0,0.948
feat_recent_completion_flag,feature,Timing,binary_float,"ct_status, ct_primary_completion, event_date",CT.gov API + dataset (pass4),1 if ct_status==COMPLETED AND 0 <= (event_date − ct_primary_completion).days <= 365,1 if trial completed within 12 months before the event date,Recently completed trials produce the most market-relevant data releases — highest signal quality,784.0,43.0,94.8,5.2,"0.0, 1.0, or NaN",43 nulls (5.2%); 365 rows (44%),,,,,784.0,43.0,0.948
feat_prior_mean_abs_move_atr_by_phase,feature,Historical Prior,float,"target_abs_move_atr, feat_phase_num","dataset (pass3, train-only)",groupby(feat_phase_num)[target_abs_move_atr].transform('mean') — computed on full dataset,Mean ATR-normalised absolute move for all events at the same trial phase,Phase-level base rate for move size — a Phase 3 readout historically moves more than Phase 1,774.0,53.0,93.6,6.4,NaN if feat_phase_num is NaN,⚠ TRAIN-ONLY PRIOR: must be recomputed on training folds to avoid leakage; 53 nulls,,,,,774.0,53.0,0.9359999999999999
feat_prior_mean_abs_move_atr_by_therapeutic_superclass,feature,Historical Prior,float,"target_abs_move_atr, mesh_level1","dataset (pass3, train-only)",groupby(mesh_level1)[target_abs_move_atr].transform('mean'),Mean ATR-normalised absolute move for all events in the same disease category,Disease-area base rate — oncology and CNS events have different historical move distributions,827.0,0.0,100.0,0.0,never null,⚠ TRAIN-ONLY PRIOR: must be recomputed on training folds to avoid leakage,,,,,827.0,0.0,1.0
feat_prior_mean_abs_move_atr_by_phase_x_therapeutic_superclass,feature,Historical Prior,float,"target_abs_move_atr, feat_phase_num, mesh_level1","dataset (pass3, train-only)","groupby([feat_phase_num, mesh_level1])[target_abs_move_atr].transform('mean')",Mean ATR-normalised absolute move for events at same phase AND disease category,Most specific reaction prior — e.g. Phase 3 Oncology has a different base rate than Phase 3 CNS,827.0,0.0,100.0,0.0,never null,⚠ TRAIN-ONLY PRIOR: must be recomputed on training folds to avoid leakage,,,,,827.0,0.0,1.0
feat_prior_mean_abs_move_atr_by_market_cap_bucket,feature,Historical Prior,float,"target_abs_move_atr, feat_market_cap_bucket","dataset (pass3, train-only)",groupby(feat_market_cap_bucket)[target_abs_move_atr].transform('mean'),Mean ATR-normalised absolute move for companies of similar size,Small-cap companies historically have larger ATR-normalised moves than large caps on same news,827.0,0.0,100.0,0.0,never null,⚠ TRAIN-ONLY PRIOR: must be recomputed on training folds to avoid leakage,,,,,827.0,0.0,1.0
feat_date_corrected_flag,feature,Metadata,binary_int,v_action,validation pipeline (v3.16),"1 if v_action in {'DATE_FIXED', 'FIX_DATE'}, else 0",1 if event date was corrected during validation (original date was wrong),Rows with corrected dates may have price fields computed on wrong date — useful audit flag for model QA,827.0,0.0,100.0,0.0,"0 or 1, never null",541 rows (65%) had their dates corrected,,,,,827.0,0.0,1.0
feat_endpoint_positive_score,DEPRECATED,Outcome Evidence,float,"primary_endpoint_met, is_pivotal",dataset (pass1 — removed in v3.16),Yes+1 / No-1 / unclear 0 + is_pivotal True+1 — range -1 to +2,DEPRECATED. Mixed endpoint outcome + pivotal importance into one score.,"Removed because is_pivotal was 54% null, silently biasing 438 rows to piv_score=0",0.0,827.0,0.0,100.0,NOT IN DATASET,Replaced by feat_endpoint_outcome_score (outcome only) + feat_regulatory_stage_score (importance). DO NOT use.,,,,,,,
is_pivotal (raw column),EXCLUDED,Trial Importance,boolean,is_pivotal,Perplexity LLM (completeness pass),Raw boolean from LLM extraction,EXCLUDED from baseline. Raw LLM-extracted flag for whether trial is pivotal.,"54% null (376/827 populated). Silently treats null as False, biasing 438 rows.",379.0,448.0,45.8,54.2,present in dataset but EXCLUDED from feature matrix,Use feat_pivotal_proxy_score (100% coverage) + feat_regulatory_stage_score instead.,,,,,,,
feat_days_to_primary_completion,,,,"ct_primary_completion, v_actual_date",,,,,773.0,54.0,93.5,,,,pass5_timing,feat,Days from event date to ct_primary_completion date; negative = event after completion,deterministic,773.0,54.0,0.935
feat_primary_completion_imminent_30d,,,,feat_days_to_primary_completion,,,,,773.0,54.0,93.5,,,,pass5_timing,feat,1 if primary completion is within next 0–30 days from event date; 0 otherwise,deterministic,773.0,54.0,0.935
feat_primary_completion_imminent_90d,,,,feat_days_to_primary_completion,,,,,773.0,54.0,93.5,,,,pass5_timing,feat,1 if primary completion is within next 0–90 days from event date; 0 otherwise,deterministic,773.0,54.0,0.935
feat_completion_recency_bucket,,,,feat_days_to_primary_completion,,,,,784.0,43.0,94.8,,,,pass5_timing,feat,Categorical: imminent_0_30 / near1_90 / medium_91_180 / far_180_plus / past / unknown,deterministic,784.0,43.0,0.948
feat_time_since_last_company_event,,,,"ticker, v_actual_date",,,,,541.0,286.0,65.4,,,,pass5_timing,feat,Days since prior clinical event for same ticker; NaN for first company event,deterministic,541.0,286.0,0.654
feat_time_since_last_asset_event,,,,"ticker, drug_name, v_actual_date",,,,,201.0,626.0,24.3,,,,pass5_timing,feat,Days since prior clinical event for same ticker+drug_name; NaN for first asset event,deterministic,201.0,626.0,0.243
feat_asset_event_sequence_num,,,,"ticker, drug_name, v_actual_date",,,,,827.0,0.0,100.0,,,,pass5_timing,feat,Ordinal position of this event within ticker+drug_name history (1=first known),deterministic,827.0,0.0,1.0
feat_company_event_sequence_num,,,,"ticker, v_actual_date",,,,,827.0,0.0,100.0,,,,pass5_timing,feat,Ordinal position of this event within the company (ticker) history,deterministic,827.0,0.0,1.0
feat_recent_company_event_flag,,,,feat_time_since_last_company_event,,,,,827.0,0.0,100.0,,,,pass5_timing,feat,1 if this company had a prior catalyst within the last 90 days; else 0,deterministic,827.0,0.0,1.0
feat_recent_asset_event_flag,,,,feat_time_since_last_asset_event,,,,,827.0,0.0,100.0,,,,pass5_timing,feat,1 if this ticker+drug had a prior event within 180 days; else 0,deterministic,827.0,0.0,1.0
feat_ctgov_primary_completion_date,feature,CT.gov Timing,date_str,ct_primary_completion,CT.gov API v2,primaryCompletionDateStruct.date from CT.gov study record,Primary completion date as returned by CT.gov API (YYYY-MM-DD),Ground-truth date from registry rather than dataset field; more reliable for timing calculations,784.0,43.0,94.8,,Not null,Part 1 CT.gov refresh,pre_event,deterministic,Primary completion date string from CT.gov API,CT.gov API v2,784.0,43.0,0.948
feat_days_since_ctgov_last_update,feature,CT.gov Timing,float,nct_id,CT.gov API v2,(event_anchor_date - lastUpdatePostDateStruct.date).days,Days between CT.gov last-update date and the event anchor date,Freshly updated studies may signal imminent data release or amendment,773.0,54.0,93.5,,>= 0 expected,Negative means future update (anomaly),pre_event,deterministic,Days since CT.gov record was last updated (relative to event anchor),CT.gov API v2,773.0,54.0,0.935
feat_recent_ctgov_update_flag,feature,CT.gov Timing,int,feat_days_since_ctgov_last_update,CT.gov API v2,1 if feat_days_since_ctgov_last_update <= 90 else 0,Flag: CT.gov record updated within 90 days of the event,Recent updates often precede results publications or study amendments,773.0,54.0,93.5,,0 or 1,90-day window,pre_event,deterministic,Binary flag: CT.gov record updated within 90 days of event anchor,CT.gov API v2,773.0,54.0,0.935
