ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type,abs_move,drug_name,catalyst_summary
SPRB,2025-08-05,58.8,-98.5,10.12,3636,1454.23,0.07,Loser,Clinical Data,98.5,tralesinidase alfa (TA-ERT),Preliminary clinical trial results were published on Spruce Biosciences's website in August 2025 showing that TA-ERT reduced heparan sulfate to normal or near-normal levels over a five-year span and appeared to stop cognitive decline in patients with Sanfilippo Syndrome Type B (MPS IIIB).
CCCC,2023-12-12,261.7,98.31,2.34,179486300,11.41,8.61,Gainer,Clinical Data,98.31,CFT7455,"C4 Therapeutics announced positive Phase 1 clinical trial data for CFT7455 in relapsed/refractory multiple myeloma on December 12, 2023, showing it was well tolerated with evidence of anti-myeloma activity and immunomodulatory effects in heavily pretreated patients.[1][4]"
IMVT,2023-09-26,5643.9,97.04,39.96,35084900,6.38,15.22,Gainer,Clinical Data,97.04,IMVT-1402,"On September 26, 2023, Immunovant announced positive Phase 1 clinical trial results for IMVT-1402, showing that subcutaneous doses achieved IgG reductions similar to batoclimab with favorable safety profiles and no adverse effects on serum albumin or LDL cholesterol."
IPHA,2024-12-13,160.7,94.84,3.02,13593100,9.58,9.9,Gainer,Clinical Data,94.84,SAR443579/IPH6101,"Innate Pharma announced updated Phase 1/2 clinical trial results for SAR443579/IPH6101 on or around December 13, 2024, showing clinical benefit with 5 complete remissions (4 CR/1 CRi) at 1 mg/kg and durable responses in R/R AML patients.[1]"
KRRO,2024-10-16,114.2,93.66,77.0,1510400,8.44,11.1,Gainer,Clinical Data,93.66,KRRO-110,"Korro Bio announced disappointing Phase 1/2a REWRITE trial results for KRRO-110 in alpha-1 antitrypsin deficiency, showing the drug failed to reach projected protein levels in patients, prompting a strategic pivot to GalNAc delivery."
NKTR,2023-08-07,1930.0,92.45,15.3,11435440,6.65,13.9,Gainer,Clinical Data,92.45,rezpegaldesleukin,"On or around August 7, 2023, Nektar announced corrected Phase 2b REZOLVE-AD clinical trial data for rezpegaldesleukin (rezpeg) in atopic dermatitis, showing improved efficacy metrics such as 36% placebo-adjusted EASI improvement for the high dose versus Lilly's prior 17% analysis."
TECX,2024-06-21,438.9,-91.67,1.4,0,123.88,0.74,Loser,Clinical Data,91.67,TX45,"Tectonic Therapeutic (TECX) announced favorable Phase 1a topline data for TX45 on or around June 21, 2024, demonstrating safety, tolerability, and favorable PK/PD profile in healthy volunteers, with no observed immunogenicity.[1]"
ARTV,2025-12-15,142.9,90.91,6.3,47772200,8.96,10.14,Gainer,Clinical Data,90.91,AlloNK,"No clinical trial data or results for ARTV (Artiva Biotherapeutics' AlloNK) were announced on or around December 15, 2025; the closest announcements were preliminary safety and translational data from 32 patients reported on November 12, 2025."
MLTX,2025-09-29,1240.5,-89.93,6.24,79740400,110.45,0.81,Loser,Clinical Data,89.93,sonelokimab,"MoonLake Immunotherapeutics (MLTX) announced mixed Phase 3 VELA trial results for sonelokimab in hidradenitis suppurativa on September 28-29, 2025, where VELA-1 met its primary endpoint (HiSCR75 35% vs 18% placebo) but VELA-2 missed statistical significance (p=0.053) due to high placebo response, though significant under treatment policy strategy."
AVTX,2023-06-26,324.0,-88.69,120.0,123244,159.83,0.55,Loser,Clinical Data,88.69,AVTX-002,"Avalo Therapeutics announced topline results from the Phase 2 PEAK trial of AVTX-002 (quisovalimab) in non-eosinophilic asthma on June 26, 2023, reporting that the trial failed to meet its primary endpoint of reducing asthma-related events, though the drug demonstrated a favorable safety profile and showed a trend toward fewer asthma events in patients with high baseline LIGHT levels."
MBOT,2025-01-03,161.9,87.72,2.14,25650200,6.91,12.7,Gainer,Clinical Data,87.72,,"Microbot Medical (MBOT) announced on January 3, 2025, the successful completion of its ACCESS-PVI pivotal human clinical trial for the LIBERTY Endovascular Robotic System, with full results detailed later on April 9, 2025, showing 100% robotic navigation success and 92% radiation reduction.[4][1]"
MREO,2025-12-29,59.0,-87.66,0.28,241447100,104.26,0.84,Loser,Clinical Data,87.66,setrusumab (UX143),"Mereo BioPharma (MREO) announced on December 29, 2025, that the Phase 3 ORBIT and COSMIC studies for setrusumab in Osteogenesis Imperfecta showed significant BMD improvements but failed to meet primary endpoints on fracture rates.[1][2][5]"
ACRS,2023-11-13,311.0,-86.44,0.64,82362400,103.52,0.83,Loser,Clinical Data,86.44,zunsemetinib,"Aclaris Therapeutics (ACRS) announced top-line results on November 13, 2023, for its Phase 2b clinical trial of zunsemetinib in rheumatoid arthritis, which failed to meet the primary endpoint of ACR20 response or any secondary endpoints at both 20mg and 50mg doses."
KZIA,2024-07-11,95.8,85.07,62.0,4534866,12.15,7.0,Gainer,Clinical Data,85.07,paxalisib,"Kazia Therapeutics announced Phase II/III trial results for paxalisib in glioblastoma on July 10, 2024, showing a 3.8-month improvement in overall survival for newly diagnosed unmethylated patients."
PALI,2024-01-29,264.1,84.62,14.4,9068020,9.67,8.75,Gainer,Clinical Data,84.62,PALI-2108,"No clinical trial data or results for PALI-2108 were announced on or around January 29, 2024; available announcements report positive preliminary Phase 1a/b data later in 2024 and 2025, including safety, tolerability, and efficacy in ulcerative colitis patients.[1][2][3]"
SPRB,2024-03-14,58.8,-84.37,4561.88,4573,98.1,0.86,Loser,Clinical Data,84.37,tralesinidase alfa (TA-ERT),"Spruce Biosciences (SPRB) announced integrated long-term clinical data from studies 201, 202, 401, and 902 for tralesinidase alfa (TA-ERT) in Sanfilippo Syndrome Type B (MPS IIIB), showing rapid reductions in disease biomarker heparan sulfate, stabilization of cognition, communication, motor skills, and cortical grey matter volume compared to declines in untreated patients.[1][2]"
CYTK,2023-12-27,7607.3,82.54,83.44,22099400,6.68,12.36,Gainer,Clinical Data,82.54,aficamten,"Cytokinetics announced positive topline results from the SEQUOIA-HCM Phase 3 clinical trial of aficamten in patients with obstructive hypertrophic cardiomyopathy on December 27, 2023, showing statistically significant improvements in exercise capacity and all secondary endpoints."
RLMD,2025-04-23,334.4,82.54,0.69,33760600,9.09,9.08,Gainer,Clinical Data,82.54,NDV-01,"Relmada Therapeutics presented positive Phase 2 clinical trial data for NDV-01 on April 28, 2025, showing an 85% overall response rate at 3 months and 90% of patients achieving high-grade disease-free status in non-muscle invasive bladder cancer."
AMLX,2024-03-08,1666.0,-82.29,3.36,61466800,70.23,1.17,Loser,Clinical Data,82.29,AMX0035 (Relyvrio),"On March 8, 2024, Amylyx Pharmaceuticals announced topline results from the Phase 3 PHOENIX trial showing that AMX0035 failed to meet its primary and secondary endpoints in treating ALS, with no statistically significant difference compared to placebo."
TIL,2024-09-13,60.4,81.92,84.52,3923300,8.77,9.35,Gainer,Clinical Data,81.92,"BRG01, BST02, BRL03","Biosyngen presented next-generation TIL technology data at the ESMO 2024 Annual Meeting in September 2024, with BRG01 in Phase II trials for solid tumors and BST02 and BRL03 in Phase I trials."
ELTX,2023-06-02,224.2,81.45,18.15,688400,12.46,6.54,Gainer,Clinical Data,81.45,ELI-002,"Elicio Therapeutics (ELTX) announced positive interim Phase 1 data for ELI-002 2P on June 2-6, 2023, showing it was well-tolerated with no dose-limiting toxicities, 77% tumor biomarker reduction, 32% clearance, and robust mKRAS-specific T cell responses in 87% of patients with high-relapse-risk pancreatic and colorectal cancers.[1]"
NMRA,2025-01-02,593.1,-81.42,1.97,44878600,70.13,1.16,Loser,Clinical Data,81.42,navacaprant,"Neumora Therapeutics (NMRA) announced topline results from the Phase 3 KOASTAL-1 study of navacaprant in major depressive disorder on January 2, 2025, which failed to meet the primary endpoint of MADRS total score reduction and key secondary endpoint compared to placebo, though showing an efficacy signal in female participants."
AVTX,2023-09-13,324.0,80.65,53.76,1806182,12.21,6.6,Gainer,Clinical Data,80.65,AVTX-002,"AVTX-002 (quisovalimab) Phase 2 PEAK trial in non-eosinophilic asthma did not meet its primary endpoint for reduction in asthma-related events, though positive trends were observed in a patient subpopulation with elevated baseline LIGHT levels."
VTYX,2023-11-07,1002.3,-80.62,2.73,39321000,64.47,1.25,Loser,Clinical Data,80.62,VTX958,"Ventyx Biosciences announced Phase 2 SERENITY trial results for VTX958 in moderate-to-severe plaque psoriasis on November 6-7, 2023, meeting primary and key secondary endpoints but with efficacy below internal targets, leading to termination of development in psoriasis and psoriatic arthritis.[1][2][3][5]"
HURA,2023-10-31,94.3,-79.68,26.74,70651,82.39,0.97,Loser,Clinical Data,79.68,VAL-083,"On October 31, 2023, TuHURA Biosciences announced preliminary topline results for VAL-083 from the GBM AGILE study, which did not perform better than the standard of care.[8]"
KRRO,2025-11-13,114.2,-79.31,6.5,8410300,79.01,1.0,Loser,Clinical Data,79.31,KRRO-110,"Korro Bio announced clinical trial results for KRRO-110 in AATD patients on November 12, 2025, showing functional M-AAT protein production but below projected levels (peak ~2-3 µM increase vs. 11 µM threshold) as of a November 6 data cutoff, leading to stock drop and strategic pivot.[1][2][5]"
MESO,2024-03-26,2103.1,78.64,3.93,69182400,9.05,8.69,Gainer,Clinical Data,78.64,ADI-PEG 20 (pegargiminase),"Clinical trial results for ADI-PEG 20 (pegargiminase, also known as ATOMIC-Meso) in mesothelioma were published in 2024, showing improved median overall survival of 9.3 months versus 7.7 months with chemotherapy alone, though no specific announcement on or around March 26, 2024, is detailed in available sources."
LONA,2024-09-04,52.6,-78.41,6.11,1766960,66.64,1.18,Loser,Clinical Data,78.41,laromestrocel,"No clinical trial data or results for LONA were announced on or around 2024-09-04; the closest match is Longeveron's Phase 2b trial results for laromestrocel (Lomecel-B) in age-related frailty, published October 29, 2024, showing a 63.4-meter improvement in 6-minute walk test at month 9 (p=0.0077)."
SPRY,2023-05-12,917.3,77.88,8.04,57684100,9.74,8.0,Gainer,Clinical Data,77.88,,No clinical trial data or results for SPRY (Spry Belt device for osteopenia) were announced on or around 2023-05-12; the referenced UNMC article from January 2023 discusses an ongoing study without specific results on that date.[4][6]
MLTX,2023-06-26,1240.5,77.55,45.95,10435400,7.74,10.02,Gainer,Clinical Data,77.55,sonelokimab,"MoonLake Immunotherapeutics (MLTX) announced positive topline 12-week results from the Phase 2 MIRA trial of sonelokimab in hidradenitis suppurativa on June 25, 2023, meeting the primary HiSCR75 endpoint with 43.3% and 34.8% response rates for 120mg and 240mg doses versus 14.7% placebo.[1][4]"
RLMD,2024-12-04,334.4,-77.26,0.63,17988400,63.8,1.21,Loser,Clinical Data,77.26,REL-1017,"On December 4, 2024, Relmada Therapeutics (RLMD) announced that the Data Monitoring Committee determined the Phase 3 Reliance II trial of REL-1017 was futile and unlikely to meet its primary efficacy endpoint, with no new safety concerns identified."
BIOA,2024-12-09,929.8,-76.85,4.65,10202100,47.11,1.63,Loser,Clinical Data,76.85,azelaprag,"BioAge Labs announced on December 6, 2024, the discontinuation of its STRIDES Phase 2 clinical trial for azelaprag in combination with tirzepatide due to unexpected liver transaminitis observed in some patients, with no full efficacy results released."
CPIX,2025-02-04,73.6,76.53,3.76,18486900,8.91,8.59,Gainer,Clinical Data,76.53,ifetroban,"Cumberland Pharmaceuticals (CPIX) announced positive top-line results from the Phase 2 FIGHT DMD trial of ifetroban on February 4, 2025, showing significant improvements in left ventricular ejection fraction and reductions in cardiac damage markers in DMD patients."
ORMP,2023-01-12,136.1,-76.46,2.37,28551500,,,Loser,Clinical Data,76.46,ORMD-0801,"On January 12, 2023, Oramed announced top-line results from the Phase 3 ORA-D-013-1 trial of ORMD-0801 oral insulin for type 2 diabetes, which failed to meet its primary endpoint of A1C reduction and secondary endpoint of fasting plasma glucose at 26 weeks, with no serious drug-related adverse events reported."
ANVS,2024-07-02,71.0,76.09,9.28,40734200,11.92,6.38,Gainer,Clinical Data,76.09,buntanetap,"Annovis Bio (ANVS) announced positive Phase III Parkinson's disease study results for buntanetap on July 2, 2024, showing statistically significant improvements in MDS-UPDRS scores, motor/non-motor functions, and cognition, particularly in patients with longer disease duration and PIGD."
OVID,2024-06-17,116.1,-75.99,0.79,22285200,38.35,1.98,Loser,Clinical Data,75.99,soticlestat,"On June 17, 2024, Ovid Therapeutics announced Takeda's Phase 3 topline results for soticlestat, which narrowly missed the primary endpoint of reduction in convulsive seizure frequency in Dravet syndrome (SKYLINE trial, p=0.06) but showed significant secondary endpoints and a favorable safety profile."
QTTB,2024-12-11,56.1,-75.62,5.95,3437000,68.0,1.11,Loser,Clinical Data,75.62,bempikibart,"Q32 Bio (QTTB) announced Phase 2a clinical trial results for bempikibart in alopecia areata (SIGNAL-AA) and atopic dermatitis (SIGNAL-AD) on or around December 11, 2024, showing mixed outcomes with failure to meet primary endpoints, high placebo responses, and protocol issues leading to sharp stock declines."
ARMP,2025-05-19,391.7,75.56,2.37,13182900,11.39,6.63,Gainer,Clinical Data,75.56,AP-SA02,"Armata Pharmaceuticals (ARMP) announced positive topline results from the Phase 1b/2a diSArm trial of AP-SA02 on May 19, 2025, showing 88% clinical response rate at day 12 versus 58% for placebo, with 100% response at later points and no serious adverse events.[2][3][4][7]"
QTTB,2025-12-01,56.1,74.43,3.82,168133500,12.31,6.05,Gainer,Clinical Data,74.43,bempikibart,"Q32 Bio announced completion of enrollment in Part B of the SIGNAL-AA Phase 2a trial on November 13, 2025, with 33 patients enrolled and emerging signs of clinical activity observed in early-enrolling patients."
WVE,2024-10-16,2587.6,74.07,14.9,17326100,6.32,11.71,Gainer,Clinical Data,74.07,WVE-006,"Wave Life Sciences announced positive proof-of-mechanism clinical trial data from the RestorAATion-2 study of WVE-006 on October 16, 2024, demonstrating the first-ever therapeutic RNA editing in humans with wild-type M-AAT protein reaching over 60% of total AAT in the first two patients after a single dose."
ENGN,2023-10-24,677.2,72.84,18.2,197000,8.99,8.1,Gainer,Clinical Data,72.84,ENGN (EG-70/detalimogene voraplasmid),"No clinical trial data or results for ENGN were announced on or around October 24, 2023; Phase 1 LEGEND study results were reported in enGene's full-year 2023 financial update (likely March 2024) and presented at the Society of Urologic Oncology meeting in November 2023, with ENGN's public launch announced on October 24, 2023."
MIRA,2023-11-15,53.2,72.51,2.95,1542400,10.84,6.69,Gainer,Clinical Data,72.51,sonelokimab,"On November 15, 2023, MoonLake Immunotherapeutics announced positive top-line results from the Phase 2 ARGO trial evaluating sonelokimab in patients with psoriatic arthritis, which met its primary endpoint with statistically significant ACR50 response compared to placebo at week 12."
GLTO,2023-08-15,1781.9,-71.2,16.85,347388,69.83,1.02,Loser,Clinical Data,71.2,GB0139,"Galecto announced on August 15, 2023, that its Phase 2b GALACTIC-1 trial of GB0139 for idiopathic pulmonary fibrosis (IPF) failed to meet its primary endpoint, resulting in a 71% stock price decline."
VTYX,2025-10-23,1002.3,70.98,6.6,116865600,9.01,7.88,Gainer,Clinical Data,70.98,VTX3232,"Ventyx Biosciences announced positive topline results from a Phase 2 study of VTX3232 on October 22, 2025, showing significant reductions in hsCRP (64-78%) and other inflammation markers in participants with obesity and cardiovascular risk factors, meeting primary safety endpoints.[1][2][3]"
TARA,2024-12-05,340.8,70.06,6.02,111267800,12.92,5.42,Gainer,Clinical Data,70.06,TARA-002,"Protara Therapeutics announced positive Phase 2 ADVANCED-2 trial results for TARA-002 in NMIBC patients on December 5, 2024, with data cutoff on November 19, 2024, showing high complete response rates in BCG-unresponsive and BCG-naïve cohorts and a favorable safety profile.[1][6]"
GHRS,2025-02-03,921.1,69.72,17.99,10308500,7.34,9.5,Gainer,Clinical Data,69.72,GH001,"GH Research announced on February 3, 2025, that the Phase 2b trial of GH001 in treatment-resistant depression met its primary endpoint with a significant placebo-adjusted MADRS reduction of -15.5 points on Day 8 (p<0.0001), along with all secondary endpoints met and good tolerability."
VKTX,2023-03-28,3910.4,69.3,15.44,62732200,8.23,8.42,Gainer,Clinical Data,69.3,VK2735,"Viking Therapeutics announced Phase 1 clinical trial results on March 28, 2023, showing VK2735 demonstrated up to 7.8% mean body weight loss from baseline and 6.0% placebo-adjusted weight loss over 28 days with safe and well-tolerated safety profile."
LYEL,2025-06-04,509.9,68.59,13.47,1689200,8.17,8.39,Gainer,Clinical Data,68.59,LYL273,"Lyell Immunopharma announced promising Phase 1 trial results for LYL273 on or around June 4, 2025, showing a 67% overall response rate and 83% disease control rate in refractory metastatic colorectal cancer patients at the highest dose level."
PALI,2024-12-12,264.1,68.57,2.36,68198200,14.95,4.59,Gainer,Clinical Data,68.57,PALI-2108,"Palisade Bio announced Phase 1b clinical trial results for PALI-2108 on or around December 2024, reporting 100% clinical response in ulcerative colitis patients with no serious adverse events."
OM,2024-08-08,63.9,-68.53,16.05,1518007,36.75,1.86,Loser,Clinical Data,68.53,null,No clinical trial data or results were announced for OM on or around 2024-08-08 based on the available search results.
PETS,2025-12-11,58.6,68.36,2.98,131268900,8.92,7.67,Gainer,Clinical Data,68.36,OKV-119,"On December 11, 2025, a CBS News video announced the launch of the MEOW-1 clinical trial by Okava Pharmaceuticals testing the GLP-1 implant OKV-119 for weight loss in obese cats, but no trial results or data were announced.[7]"
