feature_name,stage,feature_type,source_columns,transformation_logic,dtype,coverage,missing_count
feat_nda_bla_flag,pass3,regulatory,"pivotal_evidence, v_pr_key_info, v_summary, catalyst_summary, v_pr_title, ct_official_title","1 if combined text contains any of: ['nda', 'bla', 'snda', 'sbla', 'new drug application', 'biologics license application', 'marketing authorization', 'maa', 'submitted to fda', 'regulatory submission', 'seeking approval', 'approval application', 'filed with the fda', 'filing with the fda']",int64,831,0
feat_priority_review_flag,pass3,regulatory,"pivotal_evidence, v_pr_key_info, v_summary, catalyst_summary, v_pr_title, ct_official_title","1 if combined text contains any of: ['priority review', 'priority review voucher', 'pdufa', 'pdufa date', 'pdufa action date', 'approval expected', 'approval decision expected']",int64,831,0
feat_regulatory_stage_score,pass3,regulatory,"feat_nda_bla_flag, feat_priority_review_flag, pivotal_evidence",0=no regulatory language | 1=pivotal/registrational | 2=NDA/BLA | 3=priority review,int64,831,0
feat_enrollment_log,pass3,trial_quality,ct_enrollment,log1p(ct_enrollment) = log(ct_enrollment + 1),float64,784,47
feat_randomized_flag,pass3,trial_quality,ct_allocation,"1 if ct_allocation == RANDOMIZED, NaN if allocation missing",float64,667,164
feat_controlled_flag,pass3,trial_quality,"ct_allocation, ct_official_title",1 if RANDOMIZED or ct_official_title matches (placebo-control|double-blind|triple-blind|controlled study|controlled trial),int64,831,0
feat_withdrawn_flag,pass3,trial_quality,ct_status,1 if ct_status == WITHDRAWN,int64,831,0
feat_terminated_flag,pass3,trial_quality,ct_status,1 if ct_status == TERMINATED,int64,831,0
feat_trial_quality_score,pass3,trial_quality,"feat_design_quality_score, feat_controlled_flag, feat_breakthrough_flag, feat_withdrawn_flag, feat_terminated_flag",feat_design_quality_score + 1.0×blinded_title + 0.5×breakthrough − 2.0×withdrawn − 2.0×terminated,float64,784,47
feat_prior_mean_abs_move_atr_by_phase,pass3,reaction_prior,"feat_phase_num, stock_movement_atr_normalized","mean(abs(stock_movement_atr_normalized)) grouped by feat_phase_num, full dataset",float64,774,57
feat_prior_mean_abs_move_atr_by_therapeutic_superclass,pass3,reaction_prior,"mesh_level1, stock_movement_atr_normalized","mean(abs(stock_movement_atr_normalized)) grouped by mesh_level1, full dataset",float64,831,0
feat_prior_mean_abs_move_atr_by_phase_x_therapeutic_superclass,pass3,reaction_prior,"feat_phase_num, mesh_level1, stock_movement_atr_normalized","mean(abs(stock_movement_atr_normalized)) grouped by (feat_phase_num × mesh_level1), full dataset",float64,831,0
feat_market_cap_bucket,pass3,reaction_prior,market_cap_m,"pd.cut(market_cap_m, bins=[0, 300, 1000, 5000, inf], labels=['micro', 'small', 'mid', 'large'], right=False)",object,831,0
feat_prior_mean_abs_move_atr_by_market_cap_bucket,pass3,reaction_prior,"feat_market_cap_bucket, stock_movement_atr_normalized","mean(abs(stock_movement_atr_normalized)) grouped by feat_market_cap_bucket, full dataset",float64,831,0
