ticker,company,event_date,drug_name,indication,phase,headline,pr_url,primary_endpoint_met,summary,_query_label
DISC,Disc Medicine,2025,bitopertin,erythropoietic protoporphyria,,FDA rejects bitopertin despite National Priority Voucher,,,"FDA rejected bitopertin for erythropoietic protoporphyria, issuing a complete response letter despite a Commissioner's National Priority Voucher.[2]",FDA_2025
,Cranetics Pharmaceuticals,2025-09,pulotine,acrogali,,FDA issues complete response letter for pulotine,,,"FDA issued a complete response letter for pulotine in acrogali, requiring more data before approval.[3]",FDA_2025
,Akeso and Summit Therapeutics,2024-04-01,ivonescimab,lung cancer,Phase 3,"ivonescimab received first regulatory approval in China, cutting risk of lung cancer progression in half compared to Keytruda",,True,"Ivonescimab beat Merck's Keytruda in Phase 3 trial and received China approval, though interim survival analysis showed no statistically significant difference between groups.",Interim_2024_2025
,Wave Life Sciences,2024-10-01,WVE-006,alpha-1 antitrypsin deficiency,Phase 1b/2a,Wave revealed positive proof-of-mechanism data marking first-ever clinical demonstration of RNA editing in humans,,True,Two AATD patients treated with single dose produced significant protein amounts with effects lasting through two months of follow-up and no serious side effects.,Interim_2024_2025
,Intellia Therapeutics,2025-01-23,NTLA-2002,hereditary angioedema,Phase 3,First patient dosed in pivotal phase 3 HAELO clinical trial for CRISPR/Cas9-based gene-editing therapy,,,NTLA-2002 is a systemically delivered single-dose CRISPR gene-editing therapy with longer-term data from phase 1/2 study expected later in 2025.,Interim_2024_2025
,EsoBiotec,2025-01-09,ESO-T01,relapsed/refractory multiple myeloma,Phase 1,"First patient dosed in early phase 1 trial for in vivo BCMA-directed CAR-T therapy, first time treating patient with in vivo BCMA-directed CAR-T in clinical trial",,,ESO-T01 is an in vivo CAR-T therapy designed to reprogram patients' T-cells within their body with initial clinical data expected in second half of 2025.,Interim_2024_2025
,Adicet Bio,2024-11-19,ADI-100,lupus nephritis,Phase 1,First patient dosed in phase 1 clinical trial evaluating allogeneic CAR-engineered gamma delta T-cell therapy for autoimmune diseases,,,ADI-100 is an investigational allogeneic CAR-engineered gamma delta T-cell therapy with initial data from lupus nephritis patients expected in first half of 2025.,Interim_2024_2025
QURE,UniQure,2025-11-01,,,,UniQure announces positive trial results leading to stock surge over 350%,,True,UniQure's stock soared over 350% following positive clinical trial results for an undisclosed drug.[1],Phase1_2024_2025
PRAX,Praxis Precision Medicines,2025-11-01,,,,Praxis Precision Medicines announces favorable drug trial data,,True,Praxis Precision Medicines experienced a stock increase of over 230% after announcing favorable drug trial data.[1],Phase1_2024_2025
MBX,MBX Biosciences,2025-11-01,Canvuparatide,chronic hypoparathyroidism,Phase 2,MBX Biosciences reports positive topline results ahead of Phase 2 readout for Canvuparatide,,True,"MBX Biosciences reported gains of over 100% following positive Phase 2 topline results for Canvuparatide, a once-weekly therapy for chronic hypoparathyroidism.[1]",Phase1_2024_2025
WVE,Wave Life Sciences,2024-10-01,,alpha-1 antitrypsin deficiency (AATD),Phase 1b/2a,Wave Life Sciences reveals positive proof-of-mechanism data from Phase 1b/2a study in AATD,,True,"Wave Life Sciences announced positive proof-of-mechanism data from a Phase 1b/2a study in patients with alpha-1 antitrypsin deficiency, demonstrating the first clinical demonstration of RNA editing in humans.[1]",Phase1_2024_2025
VKTX,Viking Therapeutics,2024-02-01,VK2735,obesity,Phase 2,Viking Therapeutics reports fantastic phase 2 results for VK2735 obesity drug,,True,"Viking Therapeutics announced fantastic data from phase 2 trials of VK2735, causing the stock to jump 121% in one session and gain 116% for the year.[2]",Phase1_2024_2025
,Gilead,2024-05-31,Trodelvy,lung cancer,Phase 3,Gilead's Trodelvy failed to meet statistical significance in phase 3 lung cancer trial ahead of ASCO 2024,,False,Trodelvy failed to achieve statistical significance as primary endpoint in phase 3 trial for lung cancer.[1],Oncology_2024
AZN,AstraZeneca,2024-05-31,Tagrisso,lung cancer,Phase 3,Tagrisso succeeds in phase 3 lung cancer trial with 84% reduction in disease progression risk at ASCO 2024,,True,Tagrisso cut the risk of disease progression by 84% compared to placebo in phase 3 lung cancer trial.[1],Oncology_2024
PFE,Pfizer,2024-05-31,Lorbrena,lung cancer,Phase 3,Pfizer's phase 3 Lorbrena study shows positive results leading to U.S. approval presented at ASCO 2024,,True,Pfizer's phase 3 study of Lorbrena demonstrated positive results and was approved by the U.S. FDA.[1],Oncology_2024
,ECOG-ACRIN,2024-01-01,temozolomide,grade 2 glioma,Phase 3,Phase 3 E3F05 trial shows temozolomide plus radiation improves 10-year survival to 70% in grade 2 glioma,,True,Combining temozolomide with radiation resulted in a 10-year survival rate of 70% versus 47% for radiation alone.[3],Oncology_2024
,Merck,2024-09-01,pembrolizumab,high-risk stage III melanoma,Phase 3,Phase 3 trial of pembrolizumab shows long-term benefits in recurrence-free survival at ESMO 2024,,True,"Five-year follow-up showed significantly improved recurrence-free survival, distant metastasis-free survival, and overall outcomes with pembrolizumab versus placebo.[2]",Oncology_2024
AMGN,Amgen Inc.,2025-06-30,bemarituzumab,FGFR2b-positive first-line gastric or gastroesophageal junction cancer,Phase 3,Amgen announces positive topline Phase 3 results for bemarituzumab in FGFR2b-positive first-line gastric cancer,https://www.amgen.com/newsroom/press-releases/2025/06/amgen-announces-positive-topline-phase-3-results-for-bemarituzumab-in-fibroblast-growth-factor-receptor-2b-fgfr2b-positive-firstline-gastric-cancer,True,"Bemarituzumab plus chemotherapy met the primary endpoint of overall survival at interim analysis, showing statistically significant improvement over chemotherapy alone in patients with FGFR2b overexpression.",Oncology_2025
LLY,Eli Lilly and Company,,Retevmo,oncology cancer,Phase 3,Eli Lilly announces positive results from Phase 3 LIBRETTO-432 trial for Retevmo,,True,Retevmo delivered highly statistically significant results in the Phase 3 LIBRETTO-432 trial.,Oncology_2025
MLYS,Mineralys Therapeutics,2025-06-30,lorundrostat,uncontrolled or resistant hypertension,Phase 3,Mineralys announces pivotal phase III Launch-HTN study meets primary efficacy endpoints,,True,The phase III Launch-HTN and phase II Advance-HTN studies of lorundrostat met primary efficacy endpoints with statistical significance and favorable safety in hypertension patients.[1],BigGainer_2024_2025
MLYS,Mineralys Therapeutics,2025-06-30,lorundrostat,hypertension with CKD,Phase 2,Mineralys reports positive top-line data from phase II Explore-CKD study,,True,Phase II Explore-CKD study showed lorundrostat added to SGLT2 inhibitor significantly improved outcomes in hypertensive patients with CKD.[1],BigGainer_2024_2025
INSM,Insmed,2025-08-01,Brinsupri (brensocatib),non-cystic fibrosis bronchiectasis,,FDA approves Insmed's Brinsupri as first treatment for non-CF bronchiectasis,,,"FDA approved Brinsupri (brensocatib) as the first treatment for non-CF bronchiectasis in August 2025, with subsequent European approval.[1]",BigGainer_2024_2025
GPCR,Structure Therapeutics,2025-12-01,aleniglipron,obesity,Phase 2,Structure Therapeutics announces positive top-line data from ACCESS clinical program,,True,Positive top-line data from the ACCESS clinical program of investigational GLP-1 candidate aleniglipron for obesity treatment announced in December 2025.[2],BigGainer_2024_2025
NERV,Minerva Neurosciences,2026-01-01,roluperidone,negative symptoms of schizophrenia,Phase 3,Minerva Neurosciences secures funding to advance roluperidone through Phase III trial and NDA resubmission,,,Shares skyrocketed 140% after securing up to $200 million to advance roluperidone through Phase III confirmatory trial and FDA NDA resubmission.[4],BigGainer_2024_2025
MLTX,MoonLake Immunotherapeutics,2025-09-28,sonelokimab,hidradenitis suppurativa,Phase 3,MoonLake announces Phase 3 VELA-2 trial fails primary endpoint for sonelokimab in HS,,False,"VELA-2 trial failed primary endpoint at Week 16; efficacy inferior to competitor BIMZELX, causing 90% stock crash.",BigLoser_2024_2025
QNCX,Quince Therapeutics,2026-01-29,eDSP,Ataxia-Telangiectasia,Phase 3,Quince Therapeutics Phase 3 NEAT trial of eDSP fails primary endpoint,,False,"Pivotal NEAT trial missed primary endpoint (p=0.0851) and key secondary endpoint, crashing stock 91%.",BigLoser_2024_2025
SAVA,Cassava Sciences,2025-01-01,Simufilam,Alzheimer’s disease,Phase 3,Cassava Sciences reports second Phase 3 failure for Simufilam in Alzheimer’s,,False,"Second consecutive Phase 3 trial showed no impact on disease progression, leading to program termination and 20% stock drop.",BigLoser_2024_2025
RARE,Ultragenyx,2025-01-01,Setrusumab,osteogenesis imperfecta,Phase 3,Ultragenyx late-stage studies of Setrusumab fail to reduce fracture rates,,False,"Two late-stage trials failed primary endpoint of significant fracture rate reduction, dropping stock 43%.",BigLoser_2024_2025
OTLK,Outlook Therapeutics,2024-12-01,ONS-5010,eye disease,BLA,FDA issues second CRL for ONS-5010 BLA due to efficacy failure,,False,"NORSE EIGHT confirmatory study failed non-inferiority endpoint at week 8, causing 54% stock plunge.",BigLoser_2024_2025
