ticker,event_date,event_type,move_pct,price_at_event,catalyst_type,catalyst_summary,drug_name,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,atr_pct,normalized_move,move_magnitude,move_class
SEPN,2025-02-26,Gainer,3.26,5.7,Clinical Data,"Septerna announced the discontinuation of the SEP-786 Phase 1 clinical trial on February 18, 2025, due to two severe Grade 3 unconjugated bilirubin elevations in the multiple-ascending dose portion, which were reversible without liver injury, alongside early signals of on-target PTH1R agonist activity.[1]",SEP-786,,hypoparathyroidism,Phase 1,False,,,No,"Trial discontinued due to two severe Grade 3 unconjugated bilirubin elevations in the multiple-ascending dose portion, which were reversible without liver injury.",,,,,,,,,1221.44,27.28,474.35,,0.07,1.03,33.86,strong_buy,0.55,"Missing financials: market_cap_m, current_price, cash_position_m",,False,True,31.13,0.1,Low,Low
RAPT,2024-02-27,Loser,-4.56,71.92,Clinical Data,"RAPT Therapeutics announced promising Phase 2 trial results for tivumecirnon in combination with pembrolizumab in CPI-experienced head and neck squamous cell carcinoma patients, showing a confirmed ORR of 15.6% overall on or around February 27, 2024.[1]",tivumecirnon,,Advanced head and neck squamous cell carcinoma (HNSCC) in CPI-experienced patients,Phase 2,False,,,Yes,"The trial met its primary objectives of safety and tolerability, with a confirmed objective response rate of 15.6% in all patients (5/32) and 17.4% in PD-L1+ patients (4/23), demonstrating encouraging clinical activity with a well-tolerated safety profile and no increased immune-related toxicity compared to pembrolizumab alone.[1][3]",,,,,,,,,1677.4,57.92,157.34,21.0,0.12,1.1,58.0,hold,0.55,"Missing financials: market_cap_m, current_price, cash_position_m",,False,True,31.15,0.15,Low,Low
SAVA,2024-11-29,Loser,-3.52,3.84,Clinical Data,"Cassava Sciences (SAVA) announced topline Phase 3 RETHINK-ALZ trial results for simufilam on November 25, 2024, stating that it did not meet co-primary, secondary, or exploratory biomarker endpoints.[2]",simufilam,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 registrational trial intended to support FDA approval for mild-to-moderate Alzheimer's disease,,No,Did not meet co-primary endpoints of change in cognition (ADAS-COG12) and function (ADCS-ADL) after one year,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,103.91,0.03,Low,Low
SAVA,2024-12-04,Loser,-11.94,2.95,Clinical Data,"Cassava Sciences (SAVA) announced topline results from the Phase 3 RETHINK-ALZ trial for simufilam in Alzheimer's disease in November 2024, close to December 4, 2024, showing failure to meet primary endpoints but a favorable safety profile.[1][2][3]",Simufilam,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 registrational trial evaluating safety and efficacy in mild-to-moderate Alzheimer's disease,,No,Failed to meet co-primary endpoints of Alzheimer’s Disease Assessment Scale-Cognitive Subscale 12 and Alzheimer’s Disease Cooperative Study-Activities of Daily Living over 52 weeks.,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,111.66,0.11,Low,Low
KALA,2025-09-29,Loser,-89.27,2.05,Clinical Data,"Kala Bio's KPI-012 failed to meet primary and secondary efficacy endpoints in the Phase 2b CHASE trial for persistent corneal epithelial defect (PCED), leading to immediate program cessation and an 89.3% stock decline on September 29, 2025.",KPI-012,NCT05727878,Persistent corneal epithelial defect (PCED),Phase 2/3,True,Potential for CHASE to serve as a pivotal trial in support of a Biologics License Application (BLA) submission,,No,,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,30.7,0.41,21.1,7.0,0.03,56.43,,none,0.91,"Missing financials: current_price, cash_position_m",2026-01-21T14:42:49.553754,True,True,10.74,8.31,High,High
SNSE,2024-05-02,Gainer,30.95,33.0,Clinical Data,"Sensei Biotherapeutics presented promising Phase 1 dose escalation clinical data for SNS-101 on May 23, 2024, showing initial signs of clinical activity with once every 3-week dosing and a favorable pharmacokinetic and safety profile validating the conditionally active approach, leading to a 30.9% stock gain on May 2, 2024 amid anticipation.",SNS-101,NCT05864144,solid tumors,Phase 1/2,False,,,,,"A Phase 1/2, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SNS-101 (Anti VISTA) as Monotherapy and in Combination With Cemiplimab in Patients With Advanced Solid Tumors",PHASE1/PHASE2,98.0,"Solid Tumor, Adult; Advanced Solid Tumor; Head and Neck Cancer; Breast Cancer; Colon Cancer; Pancreatic Cancer; Gastric Cancer; Esophageal Cancer; Prostate Cancer; Uterine Cancer; Cervix Cancer; Ovarian Cancer; Kidney Cancer; Bladder Cancer; Thyroid Cancer; Melanoma; Sarcoma; Advanced Cancer; Metastatic Cancer; Refractory Cancer; Non Small Cell Lung Cancer; Merkel Cell Carcinoma",ACTIVE_NOT_RECRUITING,"Sensei Biotherapeutics, Inc.",NON_RANDOMIZED,2027-06,11.47,9.09,25.04,13.0,0.03,0.04,,none,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T15:07:08.089398,True,True,9.03,3.43,High,High
ANAB,2024-12-19,Loser,-2.22,15.0,Clinical Data,"AnaptysBio (ANAB) announced on or around December 19, 2024, that its Phase 2 trial of rosnilimab in moderate-to-severe ulcerative colitis did not meet the Week 12 primary endpoint or key secondary endpoints, leading to discontinuation of the program.[1]",rosnilimab,NCT06041269,moderate-to-severe rheumatoid arthritis,Phase 2b,False,,,Yes,"All rosnilimab dose arms achieved statistically significant improvements in ACR20 and mean change in CRP versus placebo at Week 12, the primary endpoint.","A Phase 2, Randomized, Double Blind, Placebo Controlled Study to Evaluate the Efficacy and Safety of Rosnilimab in Subjects with Moderate to Severe Rheumatoid Arthritis",PHASE2,420.0,Rheumatoid Arthritis,ACTIVE_NOT_RECRUITING,"AnaptysBio, Inc.",RANDOMIZED,2024-11-29,1515.86,54.19,248.96,20.0,0.39,1.05,67.92,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,15.71,0.14,Low,Low
ANRO,2024-10-23,Loser,-69.99,4.36,Clinical Data,"Alto Neuroscience's ALTO-100 failed to meet its primary endpoint in a Phase 2 study for major depressive disorder, showing no significant improvement in depressive symptoms compared to placebo in patients with a memory-based cognitive biomarker, causing a 64% pre-market stock decline on January 22, 2026.",ALTO-100,NCT06656416,Major Depressive Disorder (MDD),Phase 2,False,,,No,Did not show significant improvement in depressive symptoms compared to placebo,"A Randomized, Double-Blind, Placebo-Controlled Study Followed by Open-Label Treatment of ALTO-100 in Adults With Bipolar Disorder Currently Experiencing a Major Depressive Episode",PHASE2,200.0,Bipolar Disorder I or II With a Major Depressive Episode,RECRUITING,Alto Neuroscience,RANDOMIZED,2026-08,452.3,12.45,128.7,18.0,7.2,68.4,18.5,Buy,0.91,,2026-01-21T17:33:31.030297,True,True,5.82,12.03,High,High
SGMO,2024-11-08,Gainer,2.14,2.87,Clinical Data,Sangamo reported detailed Phase 1/2 STAAR study data showing positive kidney function results with a mean annualized eGFR slope of 1.965 mL/min/1.73m²/year at 52 weeks and sustained α-Gal A activity up to 4.5 years in Fabry disease patients.,isaralgagene civaparvovec (ST-920),NCT04046224,Fabry Disease,Phase 1/2,True,"FDA agreed to use eGFR slope from this registrational Phase 1/2 STAAR study as primary basis for accelerated approval, avoiding need for additional registrational study[1][3][4][6]",,Yes,"Positive mean annualized eGFR slope of 1.965 mL/min/1.73m²/year at 52 weeks across all dosed patients, improving upon typical decline in Fabry disease[1][3][5]","A Phase I/II, Multicenter, Open-Label, Single-Dose, Dose-Ranging Study to Assess the Safety and Tolerability of ST-920, an AAV2/6 Human Alpha Galactosidase A Gene Therapy, in Subjects With Fabry Disease (STAAR)",PHASE1/PHASE2,33.0,Fabry Disease,COMPLETED,Sangamo Therapeutics,NON_RANDOMIZED,2025-04-10,143.02,0.38,29.62,4.0,0.07,0.18,3.81,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,14.78,0.14,Low,Low
VRDN,2024-09-10,Gainer,32.14,18.75,Clinical Data,"Viridian Therapeutics announced positive top-line results from the Phase 3 THRIVE trial evaluating veligrotug (VRDN-001) in patients with active thyroid eye disease, meeting primary endpoints.",veligrotug,NCT06021054,Thyroid Eye Disease (TED),Phase 3,True,THRIVE and THRIVE-2 are described as 'pivotal program' and 'global phase 3 clinical trials' for regulatory submission,,Yes,,"A Randomized, Double-masked, Placebo-controlled Safety, Tolerability, and Efficacy Study of Veligrotug (VRDN-001), a Humanized Monoclonal Antibody Directed Against the IGF-1 Receptor, in Participants With Chronic Thyroid Eye Disease (TED)",PHASE3,188.0,Thyroid Eye Disease,COMPLETED,"Viridian Therapeutics, Inc.",RANDOMIZED,2024-11-04,,,,,,,,,0.64,Financial fetch error: Expecting value: line 1 column 1 (char 0),2026-01-21T15:04:02.538509,False,True,5.93,5.42,High,High
RAPT,2024-11-11,Loser,-39.45,14.0,Clinical Data,"RAPT Therapeutics terminated its zelnecirnon (RPT193) program for inflammatory disorders including asthma and atopic dermatitis after recent FDA feedback indicated no viable path forward, following a February clinical hold due to a patient suffering liver failure requiring transplant, causing shares to drop 48-50% on November 11, 2024.",zelnecirnon (RPT193),NCT05935332,asthma and atopic dermatitis,Phase 2,False,,,,,A Phase 2 Study to Evaluate the Efficacy and Safety of RPT193 in Adults With Moderate-to-severe T2-high Asthma Who Are Partially Controlled on Inhaled Corticosteroid and Long-acting Beta 2 Agonist Therapy,PHASE2,38.0,Asthma,TERMINATED,"RAPT Therapeutics, Inc.",RANDOMIZED,2024-06-21,1671.6,57.72,157.34,21.0,0.12,0.77,58.0,hold,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T14:56:29.520145,True,True,11.13,3.54,High,High
QURE,2024-07-10,Gainer,51.72,10.12,Clinical Data,"uniQure announced interim Phase I/II clinical trial data for AMT-130 showing 80% slowing of disease progression in high-dose patients and 30% in low-dose patients at 24 months, with an 11% mean reduction in CSF NfL biomarker.",AMT-130,NCT04120493,Huntington's disease,Phase 1/2,False,,,Yes,"80% slowing in high-dose group, 30% slowing in low-dose group, 11% mean reduction in CSF NfL","A Phase 1/2, Randomized, Double-Blind, Sham Control and Open-Label Study to Explore Safety, Tolerability, and Efficacy Signals of Multiple Doses of Striatally-Administered rAAV5-miHTT Total Huntingtin Gene (HTT) Lowering Therapy (AMT-130) in Early Manifest Huntington's Disease",PHASE1/PHASE2,43.0,Huntington's Disease,ACTIVE_NOT_RECRUITING,UniQure Biopharma B.V.,NON_RANDOMIZED,2029-06,128.5,4.85,264.3,18.0,12.4,74.2,12.5,Buy,0.91,,2026-01-21T14:49:31.257908,True,True,5.81,8.9,High,High
SRPT,2025-08-05,Loser,-2.05,16.75,Clinical Data,"Sarepta announced Phase 2 results for cemdisiran showing a 2.3-point placebo-adjusted reduction in MG-ADL score at 24 weeks, surpassing the primary endpoint for generalized myasthenia gravis treatment.",cemdisiran,NCT03841448,generalized myasthenia gravis,Phase 3,True,Phase 3 trial met primary endpoint with planned U.S. regulatory submission for cemdisiran monotherapy in Q1 2026,,Yes,Met primary endpoint with 2.3-point placebo-adjusted reduction in MG-ADL score at 24 weeks for cemdisiran monotherapy,"A Phase 2, Randomized, Double-blind, Placebo-controlled Study of Cemdisiran in Adult Patients With IgA Nephropathy",PHASE2,31.0,"IgA Nephropathy (IgAN); Berger Disease; Glomerulonephritis, IgA",TERMINATED,Alnylam Pharmaceuticals,RANDOMIZED,2022-03-17,1978.38,18.88,850.99,41.0,0.25,0.9,21.43,hold,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,17.34,0.12,Low,Low
BIOA,2024-12-24,Gainer,2.36,6.08,Clinical Data,"BioAge Labs announced discontinuation of the STRIDES Phase 2 clinical trial for azelaprag on December 6, 2024, due to liver transaminitis observed in some subjects, though this was not a positive results announcement but rather a safety-driven trial termination.",betibeglogene autotemcel (beti-cel; Zynteglo),NCT06271512,Obesity,Phase 2,False,,,No,"Trial was discontinued due to liver transaminitis (elevated transaminases) observed in 11 of 204 azelaprag-treated participants, preventing completion of efficacy assessment.",A Safety and Effectiveness Registry Study of Patients with Β-Thalassemia Treated with Betibeglogene Autotemcel (the Glostar Registry),,150.0,Beta-Thalassemia,RECRUITING,Genetix Biotherapeutics Inc.,,2043-12,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,32.4,0.07,Low,Low
VSTM,2024-06-12,Gainer,2.59,3.56,Clinical Data,"Verastem Oncology (VSTM) presented initial interim safety and efficacy results from the ongoing RAMP 205 trial of avutometinib and defactinib with gemcitabine and nab-paclitaxel in first-line metastatic pancreatic cancer on June 1, 2024, at the ASCO Annual Meeting, close to June 12, 2024.[1]",avutometinib and defactinib,NCT06072781,recurrent low-grade serous ovarian cancer,Phase 2,True,Registration-directed trial with NDA submitted under Accelerated Approval pathway based on primary ORR data[1][2][3],,Yes,"Confirmed overall response rate (ORR) by blinded independent review in the primary analysis with June 30, 2024 cutoff[1]","A Phase 3, Randomized, Open-Label Study of Combination Therapy With Avutometinib Plus Defactinib Versus Investigator's Choice of Treatment in Patients With Recurrent Low-Grade Serous Ovarian Cancer (LGSOC) (RAMP 301)",PHASE3,270.0,Low Grade Serous Ovarian Cancer,RECRUITING,"Verastem, Inc.",RANDOMIZED,2028-10-15,446.65,5.93,137.71,12.0,0.22,0.99,16.62,strong_buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,28.57,0.09,Low,Low
BIOA,2024-12-18,Gainer,4.88,4.3,Clinical Data,"BioAge Labs (BIOA) announced on December 6, 2024, the discontinuation of its Phase 2 STRIDES trial for azelaprag due to elevated liver enzymes observed in 11 of 204 enrolled patients, with plans to analyze data and provide an update in Q1 2025.[1][2]",azelaprag,NCT06515418,Obesity,Phase 2,False,,,Unclear,"Trial was discontinued in December 2024 due to liver transaminitis observed in 11 of 204 patients treated with azelaprag, before primary efficacy endpoints at Week 24 could be assessed.","A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Parallel-Arm Proof-of-Concept Study to Investigate Efficacy and Safety of Oral Azelaprag Plus Once Weekly Tirzepatide Compared with Tirzepatide Alone in Participants with Obesity Aged 55 Years and Over (STRIDES)",PHASE2,204.0,Obesity,TERMINATED,"BioAge Labs, Inc.",RANDOMIZED,2025-02-06,856.34,20.51,285.78,58.0,0.03,0.64,33.33,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,47.26,0.1,Low,Low
CELC,2025-10-20,Gainer,35.84,70.58,Clinical Data,"Celcuity announced Phase 3 VIKTORIA-1 trial results for gedatolisib in HR+/HER2- advanced breast cancer showing superior efficacy and safety versus standard of care, driving a 35.8% single-day gain on October 20, 2025.",gedatolisib,NCT03742349,HR+/HER2- advanced breast cancer,Phase 3,True,NDA submitted to FDA in November 2025 seeking approval based on these results; FDA decision expected in 2026,,Yes,Demonstrated superior efficacy and safety versus standards of care; unprecedented efficacy results in HR+/HER2- patients previously treated with CDK4/6 inhibitors,"A Phase Ib, Multicenter, Open-label Dose Escalation and Expansion Platform Study of Select Immunotherapy Combinations in Adult Patients With Triple-negative Breast Cancer",PHASE1,64.0,Triple Negative Breast Cancer (TNBC),TERMINATED,Novartis Pharmaceuticals,NON_RANDOMIZED,2023-02-06,285.4,23.45,142.7,18.0,12.3,78.5,28.5,Buy,0.91,Financial fetch error: Expecting value: line 1 column 1 (char 0),2026-01-21T14:59:49.114762,True,True,6.86,5.22,High,High
